0,1,2,3,4,5,6,7
0.1284097,0.20363466,0.16651192,0.20083891,0.15843658,0.15440747,0.13024646,0.17810601
0.15877981,0.24449846,0.22942132,0.28728098,0.2204085,0.24396709,0.17120641,0.23754309
0.11142188,0.14104217,0.14263164,0.16556999,0.14201467,0.14758839,0.1186876,0.13901463
0.15537554,0.16004014,0.19608188,0.24485742,0.18941925,0.21443342,0.13190757,0.19911997
0.17630595,0.17574894,0.20767921,0.23977126,0.20500591,0.23352648,0.14381754,0.21100365
0.13859962,0.1466178,0.1624282,0.19978628,0.16672032,0.16440518,0.107003234,0.15856029
0.11740393,0.11629642,0.17062755,0.17343725,0.15438052,0.18952155,0.094452016,0.13755512
0.12993014,0.1400434,0.16510595,0.20841804,0.16028886,0.16748725,0.09789557,0.17566888
0.14664377,0.16584729,0.18740498,0.22936931,0.18154398,0.22047336,0.13990453,0.17507264
0.11666673,0.1250411,0.1509593,0.2206222,0.14652902,0.19397157,0.09665727,0.12953116
0.15344037,0.14276904,0.17585686,0.21906771,0.16325921,0.18556044,0.115048096,0.16246472
0.14382645,0.16932091,0.19689532,0.20664318,0.16099286,0.16388829,0.11218791,0.17706263
0.18744099,0.25500396,0.28411525,0.28187597,0.22925879,0.24008898,0.17851499,0.26485792
0.12246088,0.15584289,0.17506395,0.19713873,0.16945775,0.20998172,0.11622274,0.17297369
0.111680634,0.135403,0.15322159,0.17898346,0.15162382,0.1569642,0.1410883,0.14261127
0.14611517,0.15585649,0.18520041,0.24597599,0.20780051,0.23109023,0.14611259,0.20352533
0.1872261,0.16628687,0.25899994,0.2788491,0.28987116,0.3449272,0.16062069,0.2683903
0.10686831,0.11648839,0.14395268,0.16756094,0.13254334,0.17126027,0.098515026,0.12841524
0.14261314,0.15646452,0.19520703,0.22809711,0.19486699,0.21367197,0.12207803,0.20136367
0.12509415,0.10345983,0.12655164,0.1410881,0.14759827,0.15769689,0.081883095,0.120374344
0.1523785,0.17820542,0.20089686,0.27752966,0.18700258,0.19766593,0.13015278,0.19712853
0.11792541,0.14658368,0.14334169,0.17994095,0.13192119,0.15259169,0.101392984,0.14478931
0.10519477,0.13106678,0.13176097,0.16876611,0.13853562,0.14196031,0.14726141,0.13037239
0.20667498,0.16618754,0.22068281,0.24579152,0.19506216,0.23903763,0.12447713,0.22588685
0.15975879,0.19725591,0.16868852,0.2754516,0.19346753,0.21619202,0.13836929,0.19928086
0.12720859,0.13940516,0.14740255,0.1947956,0.13395284,0.17584439,0.09849272,0.1560853
0.13920222,0.15364094,0.18245482,0.23771861,0.19062245,0.2463746,0.14056975,0.16947624
0.10984752,0.1392306,0.14236096,0.22879931,0.21065208,0.24099384,0.12449607,0.16067648
0.15283343,0.16718051,0.20593067,0.2318491,0.18117884,0.21129411,0.11409429,0.1899001
0.091248095,0.12257124,0.12718867,0.1376658,0.11267168,0.12095125,0.10147678,0.116975516
0.11723214,0.14514929,0.17717637,0.19675599,0.14267823,0.18782552,0.10042784,0.1640413
0.14994697,0.18390684,0.18909086,0.21612348,0.1876723,0.18245906,0.17005585,0.1985052
0.14870925,0.17039166,0.17963362,0.19423562,0.17701961,0.1861504,0.13214925,0.17000787
0.11494169,0.12454874,0.1472822,0.19807546,0.16175751,0.1863768,0.11648972,0.13084033
0.16063936,0.17410772,0.18737596,0.20013018,0.1718702,0.21136789,0.13956828,0.16748035
0.11966256,0.13793145,0.14995353,0.20782666,0.17268619,0.16779289,0.13410197,0.1516702
